id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kepadatan_penduduk,satuan,tahun
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1099,JIWA/KM2,2021
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,767,JIWA/KM2,2021
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,924,JIWA/KM2,2021
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,843,JIWA/KM2,2021
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1213,JIWA/KM2,2021
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1457,JIWA/KM2,2021
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,2468,JIWA/KM2,2021
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1364,JIWA/KM2,2021
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,428,JIWA/KM2,2021
235,32,JAWA BARAT,3271,KOTA BOGOR,9210,JIWA/KM2,2021
236,32,JAWA BARAT,3272,KOTA SUKABUMI,7329,JIWA/KM2,2021
237,32,JAWA BARAT,3273,KOTA BANDUNG,15076,JIWA/KM2,2021
238,32,JAWA BARAT,3274,KOTA CIREBON,9199,JIWA/KM2,2021
239,32,JAWA BARAT,3275,KOTA BEKASI,11947,JIWA/KM2,2021
240,32,JAWA BARAT,3276,KOTA DEPOK,9453,JIWA/KM2,2021
241,32,JAWA BARAT,3277,KOTA CIMAHI,14279,JIWA/KM2,2021
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4263,JIWA/KM2,2021
243,32,JAWA BARAT,3279,KOTA BANJAR,1570,JIWA/KM2,2021
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,1830,JIWA/KM2,2022
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,663,JIWA/KM2,2022
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,690,JIWA/KM2,2022
247,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2130,JIWA/KM2,2022
248,32,JAWA BARAT,3205,KABUPATEN GARUT,890,JIWA/KM2,2022
249,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,717,JIWA/KM2,2022
250,32,JAWA BARAT,3207,KABUPATEN CIAMIS,794,JIWA/KM2,2022
